"","Heading","Text","Rating","Time"
"169","Great Color and battery life","This replaced an iPhone 8. I am so happy with the upgrade.",4,2020-02-28 16:49:00
"170","Great iPhone-best yet","Very happy with the speed and performance!!! Best iPhone yet.",5,2019-12-27 16:47:00
"171","Great phone","After having this phone for a month I can say that the battery life is great and exceeded my expectations. The camera is wonderful as well.",5,2019-10-24 18:05:00
"172","Great phone & great service","This was actually what my daughter was looking for.",5,2020-01-03 19:32:00
"173","Too much money.","Way to expensive. Not worth this much money. Help!",5,2020-01-03 15:21:00
"174","Great phone","This is my teenage daughters first phone and she can’t stop playing with it. Battery life is the best i’ve Seen thus far",5,2019-11-05 21:57:00
"175","IPhone11","I was hesitant purchasing because of price but Best Buy offered good trade in and screen is so much larger without margin, well worth money!!",5,2019-10-19 07:23:00
"176","Excellent phone","Very great quality phone, not very expensive compared to the other models either",5,2019-12-08 10:32:00
"177","Love it!!","After using the iPhone 6, the upgrade to 11 was fascinating to say the least.  Absolutely love it!!",5,2019-11-22 17:04:00
"178","So Far So Good!","I'm Still Learning How To Navigate & The Different Features Of The Phone.",5,2019-12-13 15:23:00
"179","As expected","Good phone, as expected. Shipping took longer than I would have wanted but it worked out just fine",5,2019-11-22 16:05:00
"180","Great phone","I really like this phone, it does take some getting use to as I now know how much I used the home button!   Love the yellow colt.",5,2019-10-27 00:27:00
"181","Great phone","Very much enjoy using this phone. Love all the features on it.",5,2019-12-20 17:11:00
"182","Love the phone","Still learning about the phone.
So much better than my old iPhone 7",4,2020-02-20 08:21:00
"183","great phone for everyone","outstanding phone I have told everyone about it and they should check on getting on for all the family",5,2019-11-15 19:15:00
"184","Switching to apple","Great phone! Finally got me to switch from android. Every important feature matches android now on top of apples smoother apps",5,2019-10-25 20:57:00
"185","Great","Great great great great great great great great great great",5,2019-12-20 18:01:00
