"","Heading","Text","Rating","Time"
"40","I Love It!","I put off replacing my iPhone 6 for a long time. Finally had to because my new iPhone watch needed a newer model phone.  The phone is wonderful. So many good features. How did I ever do without it?",5,2020-01-10 19:31:00
"41","So far so good.","Recently went to an iPhone again from many years of Samsung Phones. Slowly making the transition. I do miss my Note8 but this phone is handling well and it will take time to get used to the Apple platform again.",5,2020-01-03 16:30:00
"42","My daughter loves it","My daughter upgraded & loves her new phone. Highly recommend l. The sales associate who helped us at Best Buy was awesome she went above and beyond to help us set everything up and find the best case thank you.",5,2020-01-03 21:36:00
"43","Impressive battery life","The new iPhone 11 is a major upgrade from previous versions.  Battery life is amazing - since I have had it I have never had to do a mid-day charge and still always have at least 50% battery power left at the end of the day.  It took a little while to get used to iOS 13 and to not having a home button, but the speed and trouble-free usage of this new iPhone 11 makes it a solid product.",5,2019-10-12 11:28:00
"44","The best iPhone yet!","The new iPhone's camera is unbelievable. The images are clearer. The zoom feature is much better. All in all it's a much improved camera. I also love the Dark Mode - much easier on the eyes, especially good for me because I am on the phone a lot while lying in bed. Also love the new map features. Haven't explored all the possibilities yet, but much more realistic.",5,2019-10-18 18:00:00
"45","Easy to use.","Except for the cost of this phone, it is easy to use. Follows along the IPhone tradition.",5,2020-02-28 15:49:00
"46","Love this phone","I love the camera on the iPhone 11! I’ve always been an iPhone user and always will be!",5,2020-02-28 16:24:00
"47","Takes great pictures!","I think I will like this when I get use to the difference between my last iPhone 6 and now this iPhone 11.",4,2019-09-22 19:17:00
"48","So far, so good!","This is my first iPhone and I think i’m liking it. I wasn’t a big believer of iPhones but my children wanted me to have this and so I did. This phone is fast, quick to connect, quick response to touch, and no lag. I like the Face Id a lot, makes logging in quick and very efficient. My kids love playing their games on this phone. And we all love the camera!",5,2019-10-18 15:42:00
"49","It’s an iPhone what Elise is there to say","I switched from a iPhone 6 to this iPhone 11. Took a little getting used to not having a home button, but it’s all second nature. 
Best is the camera. Much better than the camera on my iPhone 6",5,2020-01-03 15:16:00
"50","Huge","I went from an older Apple iphone SE phone to the 11, I was not prepared for the size difference, this thing feels huge. I am still learning to appreciate the improved features, the camera is much better.",4,2020-02-28 22:55:00
"51","easy even for me.  Love it.","like the larger screen from my old phone. Great Christmas gift from my husband",5,2020-01-17 15:25:00
"52","Great first iPhone","Went from galaxy to iPhone and no problems
Wish I did it long ago. Love FaceTime",5,2020-02-28 15:43:00
"53","Finally updated","I’ve only had the iPhone 11 for a week, I upgraded from an iPhone 6. So far so good. There are a lot of great features on the phone and I am happy with my purchase.",5,2020-01-15 19:19:00
"54","Great phone","This phone is awesome. I am team apple and this phone is great just like the other apple products.",5,2020-02-19 20:15:00
"55","Why did I wait so long","This is a great upgrade from the 7. What a difference do far I am quite happy with this buy.",5,2020-02-22 09:47:00
"56","Easy to learn new features","Phone is great, no complaints. Been using apple products for years and very happy.
Great help and service when I pitched the phone.",5,2020-01-31 16:21:00
"57","It works","Little adjustment going from home button to not facial recognition is great",5,2020-02-28 17:20:00
"58","Love the new version","Great product and great service.I enjoyed all the new things on this phone",5,2020-02-29 00:57:00
"59","Great phobe","I had a iPhone 8 and I was debating to upgrade decided to upgrade been very happy with the phone love the features love the battery life perfect are used to have a Samsung S8 also but nothing appears iPhone",5,2019-12-20 19:05:00
"60","The best iPhone yet.","The iPhone 11 is the best iPhone yet. The camera is really powerful, dare I say, even close to the camera that a professional photographer would use.

iOS 13 has made it even easier to use the iPhone 11, and there are so many new features added to the device.

If you’ve been considering a change to your smart phone, consider the iPhone 11.",5,2019-10-11 18:39:00
"61","My first iphone","So far I am loving it. There are something’s that I need to get used to. I miss my old calendar from my LG. I can’t find one that compares to it.",5,2020-01-19 01:27:00
"62","State of the art iPhone","The iPhone 11 combines all the best elements of all the prior phones. It seems to be more user-friendly than past phones, and it is seamless as you move from one thing to another.",5,2019-10-25 15:15:00
"63","Great phone but....","No issues other than the screen was too small for my taste. Took it back and got the Pro Max",5,2020-02-14 21:35:00
"64","Best iphone we’ve owned","After some research decided to buy the red iphone 11 for my wife as an anniversary present. We’ve owned iPhones going back a number of years as well as iPads. This is the best iphone we’ve ever owned. Fast, beautiful and the price was reasonable for this phone. She’s happy with her new phone and I’m very impressed with its performance",5,2019-10-04 16:17:00
